"","variable","value","count","factor","Category"
"1","Permanent_employment",0,30174,1,"Sociodemographic factors"
"2","Temporary_employment",0,84644,1,"Sociodemographic factors"
"3","Works_at_home",0,89171,1,"Sociodemographic factors"
"4","Unemployed",0,86424,1,"Sociodemographic factors"
"5","Student",0,89037,1,"Sociodemographic factors"
"6","Self_employed",0,78498,1,"Sociodemographic factors"
"7","Retirement_full",0,78171,1,"Sociodemographic factors"
"8","Retirement_part_time",0,81126,1,"Sociodemographic factors"
"9","Sick_leave_6_months",0,73613,1,"Medications and medical history"
"10","Family_heart_cerebral_infarction_60",0,78625,1,"Medications and medical history"
"11","Family_diabetes",0,78044,1,"Medications and medical history"
"12","Medication_hypertension",0,91146,1,"Medications and medical history"
"13","Medication_heart",0,99577,1,"Medications and medical history"
"14","Medication_tranquillizers",0,96421,1,"Medications and medical history"
"15","Medication_gastric_ulcer",0,94051,1,"Medications and medical history"
"16","Medication_lipids",0,97118,1,"Medications and medical history"
"17","Medication_none",0,23249,1,"Medications and medical history"
"18","Medication_pain",0,5789,1,"Medications and medical history"
"19","Medication_other",0,3761,1,"Medications and medical history"
"20","Treatment_diabetes_diet_exercise",0,102202,1,"Medications and medical history"
"21","Treatment_diabetes_tablets",0,101793,1,"Medications and medical history"
"22","Treatment_diabetes_insulin",0,102138,1,"Medications and medical history"
"23","Treatment_diabetes_no",0,95522,1,"Medications and medical history"
"24","Diabetes",0,95239,1,"Medications and medical history"
"25","Hypertension",0,80683,1,"Medications and medical history"
"26","Heart_attack",0,98807,1,"Medications and medical history"
"27","Activites_physical_state_4w_less_normal",0,32519,1,"Self-reported health"
"28","Activites_physical_state_4w_less_wanted",0,29465,1,"Self-reported health"
"29","Activites_physical_state_4w_less_able",0,31243,1,"Self-reported health"
"30","Activites_physical_state_4w_limited",0,31645,1,"Self-reported health"
"31","Activites_emotional_state_4w_less_time_normal",0,33381,1,"Self-reported health"
"32","Activites_emotional_state_4w_done_less_wanted",0,31006,1,"Self-reported health"
"33","Activites_emotional_state_4w_done_less_usual",0,33320,1,"Self-reported health"
"34","Job_sedentary",0,69604,1,"Lifestyle and environment"
"35","Job_light_partly_physically_alctive",0,77454,1,"Lifestyle and environment"
"36","Job_light_and_physically_alctive",0,72931,1,"Lifestyle and environment"
"37","Job_physically_demanding_sometimes",0,68256,1,"Lifestyle and environment"
"38","Job_physically_demanding_most_time",0,89572,1,"Lifestyle and environment"
"39","Leasure_time_walking",0,4585,1,"Lifestyle and environment"
"40","Leasure_time_biking",0,18177,1,"Lifestyle and environment"
"41","Leasure_time_dancing",0,37236,1,"Lifestyle and environment"
"42","Leasure_time_shovel_snow",0,9649,1,"Lifestyle and environment"
"43","Leasure_time_gardening",0,7411,1,"Lifestyle and environment"
"44","Leasure_time_hunt_fish",0,24292,1,"Lifestyle and environment"
"45","Leasure_time_pick_berries_mushrooms",0,10377,1,"Lifestyle and environment"
"46","Person_share_feelings_happines_with",0,8595,1,"Psychosocial factors"
"47","Person_share_feelings_with",0,8044,1,"Psychosocial factors"
"48","Get_hugs_as_support",0,17239,1,"Psychosocial factors"
"49","Participation_in_voluntary_organization",0,39102,1,"Psychosocial factors"
"50","People_to_ask_for_favour",0,2891,1,"Psychosocial factors"
"51","Someone_to_turn_in_trouble",0,11867,1,"Psychosocial factors"
"52","Voluntary_organization_sport",0,26517,1,"Psychosocial factors"
"53","Voluntary_organization_study_circle",0,38247,1,"Psychosocial factors"
"54","Voluntary_organization_theatre",0,41247,1,"Psychosocial factors"
"55","Voluntary_organization_choir",0,39878,1,"Psychosocial factors"
"56","Voluntary_organization_other",0,31059,1,"Psychosocial factors"
"57","Nicotine_replacement_therapy_to_stop_snuff",0,14261,1,"Lifestyle and environment"
"58","Nicotine_replacement_therapy_to_stop_smoking",0,12484,1,"Lifestyle and environment"
"59","Still_use_nicotine_replacement_after_quit_snuff_smoking",0,14375,1,"Lifestyle and environment"
"60","Start_snuff_when_stopped_smoking",0,37265,1,"Lifestyle and environment"
"61","Cigarettes_per_day_category",0,68110,1,"Lifestyle and environment"
"62","Snuff_boxes_per_week",0,70300,1,"Lifestyle and environment"
"63","Age_start_smoking",0,50495,1,"Lifestyle and environment"
"64","Age_stop_smoking",0,50495,1,"Lifestyle and environment"
"65","Years_using_snuff",0,68776,1,"Lifestyle and environment"
"66","Permanent_employment",1,61080,2,"Sociodemographic factors"
"67","Temporary_employment",1,6610,2,"Sociodemographic factors"
"68","Works_at_home",1,2083,2,"Sociodemographic factors"
"69","Unemployed",1,4830,2,"Sociodemographic factors"
"70","Student",1,2217,2,"Sociodemographic factors"
"71","Self_employed",1,9119,2,"Sociodemographic factors"
"72","Retirement_full",1,6433,2,"Sociodemographic factors"
"73","Retirement_part_time",1,3478,2,"Sociodemographic factors"
"74","Country_of_Birth",1,72483,1,"Sociodemographic factors"
"75","Work_shifts_weekends",1,24681,1,"Sociodemographic factors"
"76","Marital_status",1,10445,1,"Sociodemographic factors"
"77","Who_live_with",1,32206,1,"Sociodemographic factors"
"78","Education",1,23086,1,"Sociodemographic factors"
"79","Sick_leave_6_months",1,17651,2,"Medications and medical history"
"80","Family_heart_cerebral_infarction_60",1,19782,2,"Medications and medical history"
"81","Family_diabetes",1,20502,2,"Medications and medical history"
"82","Medication_hypertension",1,10399,2,"Medications and medical history"
"83","Medication_heart",1,1968,2,"Medications and medical history"
"84","Medication_tranquillizers",1,5124,2,"Medications and medical history"
"85","Medication_gastric_ulcer",1,5231,2,"Medications and medical history"
"86","Medication_lipids",1,2164,2,"Medications and medical history"
"87","Medication_none",1,78296,2,"Medications and medical history"
"88","Medication_pain",1,4102,2,"Medications and medical history"
"89","Medication_other",1,2602,2,"Medications and medical history"
"90","Treatment_diabetes_diet_exercise",1,461,2,"Medications and medical history"
"91","Treatment_diabetes_tablets",1,870,2,"Medications and medical history"
"92","Treatment_diabetes_insulin",1,525,2,"Medications and medical history"
"93","Treatment_diabetes_no",1,7141,2,"Medications and medical history"
