"","exposure","category","effect","reference","HR","p","min_p.value2"
"1","Years_using_snuff","Lifestyle and environment","-",FALSE,0.832600308834196,0.345540751372559,"HR P>0.00014"
"2","Years_using_snuff","Lifestyle and environment","+",FALSE,1.23454420645398,0.0289029615343648,"HR P>0.00014"
"3","Change_in_energy","Lifestyle and environment","0",FALSE,0.767758461596615,0.0749780114579559,"HR P>0.00014"
"4","Change_in_energy","Lifestyle and environment","+",FALSE,0.61595486347524,0.00267186732511667,"HR P>0.00014"
"5","Exerceise_change_last_year","Lifestyle and environment","-",FALSE,1.02134006654207,0.833821666785723,"HR P>0.00014"
"6","Exerceise_change_last_year","Lifestyle and environment","+",FALSE,0.907393378077158,0.358044070302413,"HR P>0.00014"
"7","Leasure_time_pick_berries_mushrooms","Lifestyle and environment","0",FALSE,1.01022307726728,0.905940069923215,"HR P>0.00014"
"8","Leasure_time_pick_berries_mushrooms","Lifestyle and environment","+",FALSE,1.31234669793342,0.0164081028976374,"HR P>0.00014"
"9","Self_rated_health","Self-reported health","-",FALSE,0.924846359874211,0.37888766238318,"HR P>0.00014"
"10","Self_rated_health","Self-reported health","0",FALSE,0.823871926476574,0.00222121587287698,"HR P>0.00014"
"11","Habitual_exercise_change_last_year","Lifestyle and environment","+",FALSE,0.986345218221129,0.877046420647097,"HR P>0.00014"
"12","Habitual_exercise_change_last_year","Lifestyle and environment","-",FALSE,1.18793444989204,0.039365376199706,"HR P>0.00014"
"13","Retirement_full","Sociodemographic factors","+",FALSE,1.50819766554385,0.00000431177993294781,"HR P<0.00014"
"14","Physically_active_before_20","Lifestyle and environment","-",FALSE,1.15828881867103,0.180038649837018,"HR P>0.00014"
"15","Physically_active_before_20","Lifestyle and environment","+",FALSE,1.15563716122954,0.121896281047726,"HR P>0.00014"
"16","Leasure_time_shovel_snow","Lifestyle and environment","+",FALSE,1.01177498547071,0.909579517940419,"HR P>0.00014"
